iteration,completeLL,phase,estimate_a,estimate_alpha_pop,estimate_omega_alpha,estimate_omega_tau,estimate_p0_pop,estimate_tau_pop
267,-9076.01,1,0.00993373,0.0428315,0.512382,7.38063,0.403575,74.4572
268,-9057.18,1,0.00997839,0.0431029,0.51398,7.34361,0.403574,74.4039
269,-9059.65,1,0.00996829,0.0432179,0.516733,7.32022,0.403568,74.3918
270,-9039.18,1,0.0100128,0.0433632,0.524181,7.28737,0.403515,74.3618
271,-9052.1,1,0.00998372,0.0434104,0.519586,7.31134,0.403574,74.3894
272,-9034.25,1,0.010044,0.0433385,0.516425,7.30937,0.403594,74.3931
273,-9070.81,1,0.00993304,0.0433104,0.518453,7.31357,0.403751,74.3921
274,-9055.07,1,0.00997452,0.0434298,0.519717,7.31319,0.403648,74.4123
275,-8963.19,1,0.0102296,0.0433397,0.521792,7.3374,0.403619,74.4163
276,-8995.69,1,0.0101509,0.0431279,0.515487,7.34595,0.403806,74.4412
277,-9055.6,1,0.00998652,0.0430754,0.511994,7.35356,0.403812,74.4672
278,-9050.65,1,0.00999681,0.0430055,0.51312,7.35725,0.403769,74.4495
279,-9031.78,1,0.0100442,0.043098,0.516296,7.34656,0.403719,74.4624
280,-9018.11,1,0.0100863,0.0430327,0.516558,7.32881,0.403876,74.4401
281,-9023.25,1,0.0100642,0.0429551,0.517966,7.34596,0.403841,74.4417
282,-9062.99,1,0.00993265,0.0432249,0.523986,7.35257,0.403772,74.4326
283,-9042.95,1,0.00998267,0.0433699,0.525637,7.36593,0.403859,74.4322
284,-9001.38,1,0.0100975,0.043228,0.526601,7.37625,0.403879,74.4301
285,-9028.02,1,0.0100216,0.0434213,0.527027,7.36604,0.403869,74.4071
286,-9010.85,1,0.0100664,0.0433427,0.529316,7.3575,0.4039,74.4186
287,-9037.66,1,0.0100071,0.0434246,0.526987,7.29948,0.403963,74.3896
288,-9022.23,1,0.0100436,0.0433558,0.529581,7.30327,0.403935,74.4062
289,-8989.17,1,0.0101273,0.0435531,0.53118,7.34089,0.404038,74.4341
290,-9031.05,1,0.0100074,0.0435973,0.531921,7.32674,0.404032,74.4377
291,-9068.23,1,0.00991417,0.0433162,0.524825,7.35941,0.40398,74.4486
292,-8977.9,1,0.0101667,0.0432307,0.524936,7.39371,0.403948,74.4557
293,-9016.88,1,0.0100511,0.0431304,0.530195,7.33489,0.404041,74.4363
294,-8977.07,1,0.0101666,0.0434516,0.530566,7.32831,0.403933,74.428
295,-8960.22,1,0.0102304,0.0434613,0.526667,7.30881,0.403967,74.4218
296,-8999.62,1,0.0101332,0.0433751,0.518877,7.32936,0.403864,74.4235
297,-9065.21,1,0.00994697,0.0433822,0.51968,7.30661,0.403874,74.3915
298,-9044.28,1,0.0100127,0.0433069,0.515871,7.33023,0.403869,74.3966
299,-9047.29,1,0.00998825,0.0435384,0.522633,7.31573,0.403861,74.3644
300,-9056.16,1,0.00995366,0.0435416,0.525704,7.32044,0.40379,74.3759
301,-9014.88,2,0.0100691,0.0435788,0.524973,7.34485,0.403809,74.4194
302,-9061.04,2,0.00993585,0.0436646,0.525556,7.34258,0.403882,74.4076
303,-9074.48,2,0.00990559,0.0435736,0.52452,7.3201,0.404017,74.4272
304,-9047.86,2,0.00997321,0.0435913,0.525649,7.32499,0.404811,74.4349
305,-9068.16,2,0.00993543,0.043362,0.518854,7.35563,0.404845,74.4555
306,-9013.55,2,0.0100635,0.0431325,0.519581,7.38672,0.404683,74.4681
307,-9027.02,2,0.0100548,0.0431356,0.517538,7.36088,0.405374,74.4847
308,-9017.69,2,0.0100687,0.0432028,0.52026,7.35136,0.405628,74.4968
309,-9028.62,2,0.0100416,0.0429893,0.518721,7.40132,0.405186,74.5233
310,-9006.66,2,0.0100796,0.0429501,0.519506,7.41892,0.405306,74.5156
311,-9054.73,2,0.00999115,0.0429628,0.518311,7.42912,0.40492,74.5141
312,-9078.6,2,0.0099223,0.0429373,0.517788,7.42798,0.404983,74.5132
313,-9035.38,2,0.00998529,0.04296,0.517345,7.42071,0.404667,74.4982
314,-9069.23,2,0.00994815,0.0429917,0.516214,7.417,0.40461,74.4968
315,-9075.01,2,0.00991622,0.0430681,0.517997,7.43128,0.404724,74.502
316,-9034.18,2,0.00997591,0.0431962,0.516817,7.43208,0.404672,74.4949
317,-9076.03,2,0.00993885,0.0432464,0.515443,7.43208,0.404848,74.4979
318,-9043.41,2,0.00996339,0.0432245,0.516345,7.44448,0.404647,74.4911
319,-9008.47,2,0.0100191,0.0431234,0.516657,7.47311,0.404511,74.4993
320,-9023.75,2,0.010018,0.0430666,0.519283,7.4948,0.404432,74.5116
321,-9064.25,2,0.00996682,0.0430198,0.521015,7.50428,0.404397,74.5148
322,-9112.62,2,0.00988462,0.0430309,0.521307,7.51337,0.404081,74.517
323,-9022.89,2,0.00994329,0.0430487,0.519426,7.51392,0.404084,74.5156
324,-9046.84,2,0.00995149,0.0429402,0.518957,7.50992,0.403961,74.5139
325,-9031.19,2,0.00996895,0.0429173,0.519705,7.50743,0.404077,74.5176
326,-8983.74,2,0.0100317,0.0428295,0.517417,7.50579,0.404089,74.5177
327,-8988.97,2,0.0100625,0.0428052,0.51716,7.51132,0.404192,74.523
328,-9025.68,2,0.0100544,0.0428036,0.516651,7.50785,0.404051,74.5174
