id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
67,0.186417,0.021807,85.312340,0.186542,0.025878,83.791625,0.000000,0.004343,1.528017
68,0.186478,0.017409,70.816580,0.185880,0.017308,70.728091,0.000000,0.000683,0.442197
69,0.186528,0.021537,72.486056,0.186367,0.021600,72.512471,0.000000,0.000854,0.335320
70,0.186487,0.015932,70.625305,0.186395,0.015942,70.636898,0.000000,0.000499,0.288413
71,0.186447,0.011440,69.982367,0.186290,0.011459,70.049408,0.000000,0.000592,0.368881
72,0.186471,0.012954,62.028706,0.186465,0.012843,61.936491,0.000000,0.000536,0.443637
73,0.186447,0.029735,67.093011,0.186398,0.029821,67.096940,0.000000,0.000880,0.270771
74,0.186548,0.034076,73.459234,0.186710,0.033965,73.441702,0.000000,0.001253,0.136763
75,0.186385,0.014001,65.517516,0.186543,0.014118,65.627327,0.000000,0.000572,0.349027
76,0.186273,0.030191,71.059644,0.186457,0.030099,71.072611,0.000000,0.003285,0.366580
77,0.186450,0.035371,60.353621,0.186015,0.035385,60.358565,0.000000,0.000866,0.191050
78,0.186390,0.048237,73.858011,0.186211,0.048256,73.853907,0.000000,0.001547,0.189141
79,0.186519,0.017961,63.425712,0.186529,0.017863,63.363340,0.000000,0.000406,0.256738
